Agent Name, Door Name, Position-X, Position-Z, Time (Seconds)
SmartAgent3D(Clone), door 97, -52.93-X, 15.52-Z, 42.76 seconds
SmartAgent3D(Clone), door 25, -15.35-X, -10.04-Z, 42.76 seconds
SmartAgent3D(Clone), door 85, 64.05-X, 15.52-Z, 42.78 seconds
SmartAgent3D(Clone), door 81, 58.05-X, 12.4-Z, 42.8 seconds
SmartAgent3D(Clone), door 28, 7.05-X, -8.6-Z, 42.84 seconds
SmartAgent3D(Clone), door 37, 64.05-X, 12.52-Z, 42.98 seconds
SmartAgent3D(Clone), door 28, 7.05-X, -8.6-Z, 43.1 seconds
SmartAgent3D(Clone), door 85, 64.05-X, 15.52-Z, 43.22 seconds
SmartAgent3D(Clone), door 37, 64.05-X, 12.52-Z, 43.32 seconds
SmartAgent3D(Clone), door 97, -52.93-X, 15.52-Z, 43.44 seconds
SmartAgent3D(Clone), door 85, 64.05-X, 15.52-Z, 43.68 seconds
SmartAgent3D(Clone), door 30, -15.35-X, -7.04-Z, 43.76 seconds
SmartAgent3D(Clone), door 3, 14.61-X, 4.96-Z, 43.78 seconds
SmartAgent3D(Clone), door 97, -52.93-X, 15.52-Z, 43.92 seconds
SmartAgent3D(Clone), door 36, 64.05-X, 15.4-Z, 44.32 seconds
SmartAgent3D(Clone), door 45, 31.05-X, 12.52-Z, 44.46 seconds
SmartAgent3D(Clone), door 23, -15.47-X, -7.04-Z, 44.58 seconds
SmartAgent3D(Clone), door 23, -15.47-X, -7.04-Z, 45.06 seconds
SmartAgent3D(Clone), door 37, 64.05-X, 12.52-Z, 45.4 seconds
SmartAgent3D(Clone), door 23, -15.47-X, -7.04-Z, 45.5 seconds
SmartAgent3D(Clone), door 38, 58.05-X, 15.4-Z, 45.58 seconds
SmartAgent3D(Clone), door 24, -7.91-X, -8.6-Z, 45.66 seconds
SmartAgent3D(Clone), door 37, 64.05-X, 12.52-Z, 46.06 seconds
SmartAgent3D(Clone), door 24, -7.91-X, -8.6-Z, 46.14 seconds
SmartAgent3D(Clone), door 3, 14.61-X, 4.96-Z, 46.42 seconds
SmartAgent3D(Clone), door 32, -7.91-X, -8.48-Z, 46.48 seconds
SmartAgent3D(Clone), door 39, 58.05-X, 12.52-Z, 46.48 seconds
SmartAgent3D(Clone), door 80, 64.05-X, 12.4-Z, 46.68 seconds
SmartAgent3D(Clone), door 80, 64.05-X, 12.4-Z, 47.1 seconds
SmartAgent3D(Clone), door 3, 14.61-X, 4.96-Z, 47.16 seconds
SmartAgent3D(Clone), door 33, 8.49-X, 4.96-Z, 47.22 seconds
SmartAgent3D(Clone), door 80, 64.05-X, 12.4-Z, 47.34 seconds
SmartAgent3D(Clone), door 42, 40.05-X, 15.4-Z, 47.34 seconds
SmartAgent3D(Clone), door 33, 8.49-X, 4.96-Z, 47.76 seconds
SmartAgent3D(Clone), door 29, 7.05-X, -8.48-Z, 48.16 seconds
SmartAgent3D(Clone), door 41, 49.05-X, 12.52-Z, 48.36 seconds
SmartAgent3D(Clone), door 36, 64.05-X, 15.4-Z, 48.46 seconds
SmartAgent3D(Clone), door 29, 7.05-X, -8.48-Z, 48.72 seconds
SmartAgent3D(Clone), door 30, -15.35-X, -7.04-Z, 48.76 seconds
SmartAgent3D(Clone), door 85, 64.05-X, 15.52-Z, 49.22 seconds
SmartAgent3D(Clone), door 28, 7.05-X, -8.6-Z, 49.34 seconds
SmartAgent3D(Clone), door 40, 49.05-X, 15.4-Z, 49.52 seconds
SmartAgent3D(Clone), door 23, -15.47-X, -7.04-Z, 49.54 seconds
SmartAgent3D(Clone), door 85, 64.05-X, 15.52-Z, 49.66 seconds
SmartAgent3D(Clone), door 28, 7.05-X, -8.6-Z, 49.86 seconds
SmartAgent3D(Clone), door 23, -15.47-X, -7.04-Z, 49.96 seconds
SmartAgent3D(Clone), door 41, 49.05-X, 12.52-Z, 50.24 seconds
SmartAgent3D(Clone), door 36, 64.05-X, 15.4-Z, 50.34 seconds
SmartAgent3D(Clone), door 23, -15.47-X, -7.04-Z, 50.44 seconds
SmartAgent3D(Clone), door 36, 64.05-X, 15.4-Z, 50.68 seconds
SmartAgent3D(Clone), door 42, 40.05-X, 15.4-Z, 51.3 seconds
SmartAgent3D(Clone), door 42, 40.05-X, 15.4-Z, 52.28 seconds
SmartAgent3D(Clone), door 29, 7.05-X, -8.48-Z, 52.3 seconds
SmartAgent3D(Clone), door 29, 7.05-X, -8.48-Z, 52.86 seconds
SmartAgent3D(Clone), door 39, 58.05-X, 12.52-Z, 52.98 seconds
SmartAgent3D(Clone), door 38, 58.05-X, 15.4-Z, 53.04 seconds
SmartAgent3D(Clone), door 28, 7.05-X, -8.6-Z, 53.44 seconds
SmartAgent3D(Clone), door 38, 58.05-X, 15.4-Z, 53.58 seconds
SmartAgent3D(Clone), door 33, 8.49-X, 4.96-Z, 53.82 seconds
SmartAgent3D(Clone), door 86, 58.05-X, 15.52-Z, 53.92 seconds
SmartAgent3D(Clone), door 28, 7.05-X, -8.6-Z, 53.96 seconds
SmartAgent3D(Clone), door 45, 31.05-X, 12.52-Z, 54.04 seconds
SmartAgent3D(Clone), door 33, 8.49-X, 4.96-Z, 54.36 seconds
SmartAgent3D(Clone), door 86, 58.05-X, 15.52-Z, 54.68 seconds
SmartAgent3D(Clone), door 44, 31.05-X, 15.4-Z, 54.94 seconds
SmartAgent3D(Clone), door 44, 31.05-X, 15.4-Z, 55.46 seconds
SmartAgent3D(Clone), door 89, 31.05-X, 15.52-Z, 55.8 seconds
SmartAgent3D(Clone), door 41, 49.05-X, 12.52-Z, 56 seconds
SmartAgent3D(Clone), door 89, 31.05-X, 15.52-Z, 56.1 seconds
SmartAgent3D(Clone), door 47, 25.05-X, 12.52-Z, 56.24 seconds
SmartAgent3D(Clone), door 89, 31.05-X, 15.52-Z, 56.58 seconds
SmartAgent3D(Clone), door 47, 25.05-X, 12.52-Z, 56.78 seconds
SmartAgent3D(Clone), door 89, 31.05-X, 15.52-Z, 56.98 seconds
SmartAgent3D(Clone), door 36, 64.05-X, 15.4-Z, 57.16 seconds
SmartAgent3D(Clone), door 40, 49.05-X, 15.4-Z, 57.22 seconds
SmartAgent3D(Clone), door 29, 7.05-X, -8.48-Z, 57.36 seconds
SmartAgent3D(Clone), door 36, 64.05-X, 15.4-Z, 57.74 seconds
SmartAgent3D(Clone), door 45, 31.05-X, 12.52-Z, 57.74 seconds
SmartAgent3D(Clone), door 40, 49.05-X, 15.4-Z, 57.76 seconds
SmartAgent3D(Clone), door 33, 8.49-X, 4.96-Z, 57.84 seconds
SmartAgent3D(Clone), door 29, 7.05-X, -8.48-Z, 57.92 seconds
SmartAgent3D(Clone), door 40, 49.05-X, 15.4-Z, 58.06 seconds
SmartAgent3D(Clone), door 85, 64.05-X, 15.52-Z, 58.18 seconds
SmartAgent3D(Clone), door 33, 8.49-X, 4.96-Z, 58.38 seconds
SmartAgent3D(Clone), door 28, 7.05-X, -8.6-Z, 58.54 seconds
SmartAgent3D(Clone), door 84, 31.05-X, 12.4-Z, 58.56 seconds
SmartAgent3D(Clone), door 85, 64.05-X, 15.52-Z, 58.8 seconds
SmartAgent3D(Clone), door 87, 49.05-X, 15.52-Z, 58.88 seconds
SmartAgent3D(Clone), door 84, 31.05-X, 12.4-Z, 58.96 seconds
SmartAgent3D(Clone), door 28, 7.05-X, -8.6-Z, 59 seconds
SmartAgent3D(Clone), door 87, 49.05-X, 15.52-Z, 59.22 seconds
SmartAgent3D(Clone), door 84, 31.05-X, 12.4-Z, 59.28 seconds
SmartAgent3D(Clone), door 87, 49.05-X, 15.52-Z, 59.54 seconds
SmartAgent3D(Clone), door 37, 64.05-X, 12.52-Z, 59.56 seconds
SmartAgent3D(Clone), door 87, 49.05-X, 15.52-Z, 60 seconds
SmartAgent3D(Clone), door 80, 64.05-X, 12.4-Z, 60.34 seconds
