Object Name, Agent Name, Position-X, Position-Z, Time (Seconds)
door 36, smart agent 18, 64.05, 15.40, 8.14
door 61, smart agent 41, -34.91, -32.48, 8.18
door 66, smart agent 33, -43.93, 15.40, 8.20
door 38, smart agent 24, 58.05, 15.40, 8.26
door 66, smart agent 33, -43.93, 15.40, 8.42
door 91, smart agent 1, -3.49, 19.96, 8.44
door 84, smart agent 18, 64.05, 15.52, 8.48
door 1, smart agent 28, -3.37, 19.96, 8.50
door 38, smart agent 20, 58.05, 15.40, 8.50
door 36, smart agent 17, 64.05, 15.40, 8.50
door 68, smart agent 30, -25.93, 15.40, 8.52
door 8, smart agent 4, -70.91, 15.40, 8.54
door 67, smart agent 32, -34.93, 15.40, 8.64
door 67, smart agent 31, -34.93, 15.40, 8.64
door 84, smart agent 22, 64.05, 15.52, 8.68
door 84, smart agent 23, 64.05, 15.52, 8.68
door 18, smart agent 10, -25.91, -17.60, 8.68
door 60, smart agent 40, -40.91, -32.48, 8.78
module node 105, smart agent 14, 11.55, -19.04, 8.80
door 38, smart agent 25, 58.05, 15.40, 8.82
door 67, smart agent 31, -34.93, 15.40, 8.94
door 8, smart agent 4, -70.91, 15.40, 8.94
door 38, smart agent 24, 58.05, 15.40, 8.94
door 68, smart agent 30, -25.93, 15.40, 8.96
door 91, smart agent 1, -3.49, 19.96, 8.98
door 84, smart agent 18, 64.05, 15.52, 8.98
door 85, smart agent 25, 58.05, 15.52, 9.04
door 1, smart agent 28, -3.37, 19.96, 9.04
door 84, smart agent 17, 64.05, 15.52, 9.10
door 36, smart agent 22, 64.05, 15.40, 9.10
door 95, smart agent 33, -43.93, 15.52, 9.16
door 8, smart agent 4, -70.91, 15.40, 9.18
door 33, smart agent 15, 8.49, 4.96, 9.18
door 36, smart agent 19, 64.05, 15.40, 9.24
door 68, smart agent 30, -25.93, 15.40, 9.28
door 67, smart agent 32, -34.93, 15.40, 9.28
door 85, smart agent 20, 58.05, 15.52, 9.30
door 91, smart agent 28, -3.49, 19.96, 9.40
door 67, smart agent 31, -34.93, 15.40, 9.42
door 5, smart agent 4, -70.91, 15.52, 9.44
door 60, smart agent 40, -40.91, -32.48, 9.50
door 62, smart agent 41, -31.91, -32.48, 9.54
door 85, smart agent 24, 58.05, 15.52, 9.54
door 84, smart agent 23, 64.05, 15.52, 9.58
door 93, smart agent 30, -25.93, 15.52, 9.60
door 91, smart agent 1, -3.49, 19.96, 9.62
door 50, smart agent 38, -52.93, 15.40, 9.64
module node 108, smart agent 14, 11.55, -16.04, 9.66
door 33, smart agent 15, 8.49, 4.96, 9.72
door 94, smart agent 32, -34.93, 15.52, 9.72
door 36, smart agent 19, 64.05, 15.40, 9.76
door 95, smart agent 33, -43.93, 15.52, 9.76
door 5, smart agent 4, -70.91, 15.52, 9.76
door 84, smart agent 17, 64.05, 15.52, 9.82
door 91, smart agent 28, -3.49, 19.96, 9.86
door 84, smart agent 18, 64.05, 15.52, 9.90
door 38, smart agent 26, 58.05, 15.40, 9.98
door 85, smart agent 25, 58.05, 15.52, 10.02
door 36, smart agent 18, 64.05, 15.40, 10.02
door 66, smart agent 39, -43.93, 15.40, 10.02
door 1, smart agent 1, -3.37, 19.96, 10.06
door 5, smart agent 4, -70.91, 15.52, 10.06
door 33, smart agent 29, 8.49, 4.96, 10.06
door 66, smart agent 33, -43.93, 15.40, 10.08
door 17, smart agent 9, -33.47, -28.04, 10.16
door 94, smart agent 32, -34.93, 15.52, 10.16
door 84, smart agent 19, 64.05, 15.52, 10.20
door 85, smart agent 24, 58.05, 15.52, 10.24
door 91, smart agent 28, -3.49, 19.96, 10.24
door 50, smart agent 38, -52.93, 15.40, 10.26
door 38, smart agent 21, 58.05, 15.40, 10.30
door 93, smart agent 30, -25.93, 15.52, 10.32
door 36, smart agent 23, 64.05, 15.40, 10.34
door 38, smart agent 26, 58.05, 15.40, 10.38
door 5, smart agent 4, -70.91, 15.52, 10.38
door 94, smart agent 31, -34.93, 15.52, 10.42
door 34, smart agent 8, 14.49, 4.96, 10.50
door 1, smart agent 1, -3.37, 19.96, 10.52
module node 109, smart agent 14, 11.55, -13.04, 10.56
door 91, smart agent 28, -3.49, 19.96, 10.60
door 33, smart agent 13, 8.49, 4.96, 10.68
door 85, smart agent 25, 58.05, 15.52, 10.68
door 36, smart agent 17, 64.05, 15.40, 10.70
door 66, smart agent 39, -43.93, 15.40, 10.78
door 67, smart agent 34, -34.93, 15.40, 10.78
door 5, smart agent 4, -70.91, 15.52, 10.78
door 36, smart agent 22, 64.05, 15.40, 10.80
door 93, smart agent 30, -25.93, 15.52, 10.80
door 94, smart agent 31, -34.93, 15.52, 10.80
door 84, smart agent 22, 64.05, 15.52, 10.82
door 85, smart agent 26, 58.05, 15.52, 10.94
door 94, smart agent 32, -34.93, 15.52, 10.96
door 96, smart agent 38, -52.93, 15.52, 11.00
door 66, smart agent 33, -43.93, 15.40, 11.04
door 38, smart agent 21, 58.05, 15.40, 11.08
door 94, smart agent 31, -34.93, 15.52, 11.14
door 36, smart agent 18, 64.05, 15.40, 11.18
door 38, smart agent 25, 58.05, 15.40, 11.28
door 36, smart agent 23, 64.05, 15.40, 11.28
door 84, smart agent 19, 64.05, 15.52, 11.30
door 66, smart agent 33, -43.93, 15.40, 11.36
door 1, smart agent 1, -3.37, 19.96, 11.36
door 33, smart agent 12, 8.49, 4.96, 11.38
door 1, smart agent 28, -3.37, 19.96, 11.40
door 95, smart agent 39, -43.93, 15.52, 11.44
door 96, smart agent 38, -52.93, 15.52, 11.48
door 36, smart agent 17, 64.05, 15.40, 11.48
door 8, smart agent 4, -70.91, 15.40, 11.48
door 68, smart agent 30, -25.93, 15.40, 11.50
door 85, smart agent 21, 58.05, 15.52, 11.52
door 67, smart agent 32, -34.93, 15.40, 11.52
door 94, smart agent 31, -34.93, 15.52, 11.58
door 38, smart agent 27, 58.05, 15.40, 11.60
door 36, smart agent 19, 64.05, 15.40, 11.62
door 107, smart agent 41, -25.91, -32.60, 11.64
door 95, smart agent 33, -43.93, 15.52, 11.68
door 84, smart agent 22, 64.05, 15.52, 11.72
door 67, smart agent 34, -34.93, 15.40, 11.72
door 1, smart agent 28, -3.37, 19.96, 11.74
door 85, smart agent 26, 58.05, 15.52, 11.80
door 91, smart agent 1, -3.49, 19.96, 11.86
door 50, smart agent 38, -52.93, 15.40, 11.86
door 8, smart agent 4, -70.91, 15.40, 11.88
door 68, smart agent 30, -25.93, 15.40, 11.92
door 105, smart agent 40, -34.91, -32.60, 11.92
door 36, smart agent 23, 64.05, 15.40, 11.96
door 84, smart agent 17, 64.05, 15.52, 11.96
door 36, smart agent 20, 64.05, 15.40, 11.98
door 38, smart agent 25, 58.05, 15.40, 11.98
door 95, smart agent 39, -43.93, 15.52, 12.00
door 85, smart agent 25, 58.05, 15.52, 12.00
door 38, smart agent 3, 58.05, 15.40, 12.12
room node 3, smart agent 8, 19.68, 9.14, 12.12
door 8, smart agent 4, -70.91, 15.40, 12.14
room node 11, smart agent 9, -28.91, -23.54, 12.16
door 1, smart agent 28, -3.37, 19.96, 12.20
door 67, smart agent 31, -34.93, 15.40, 12.20
door 68, smart agent 30, -25.93, 15.40, 12.24
door 95, smart agent 33, -43.93, 15.52, 12.24
door 5, smart agent 4, -70.91, 15.52, 12.24
door 84, smart agent 18, 64.05, 15.52, 12.28
door 50, smart agent 38, -52.93, 15.40, 12.30
