Object Name, Agent Name, Position-X, Position-Z, Time (Seconds)
door 25, smart agent 9, -0.38, 6.89, 22.42
door 25, smart agent 9, -0.38, 6.89, 22.58
door 25, smart agent 9, -0.38, 6.89, 22.62
door 25, smart agent 9, -0.38, 6.89, 22.66
door 26, smart agent 9, -0.38, 6.77, 22.70
module node 21, smart agent 3, -10.00, 2.33, 22.84
module node 20, smart agent 6, -4.00, 2.33, 23.16
module node 22, smart agent 5, -7.00, 2.33, 23.28
module node 22, smart agent 6, -7.00, 2.33, 24.02
module node 21, smart agent 5, -10.00, 2.33, 24.14
module node 21, smart agent 6, -10.00, 2.33, 24.86
module node 23, smart agent 5, -13.00, 2.33, 25.00
module node 23, smart agent 6, -13.00, 2.33, 25.74
exit 4, smart agent 3, -20.44, 3.20, 25.86
exit 4, smart agent 4, -20.44, 3.20, 27.02
exit 4, smart agent 5, -20.44, 3.20, 27.20
exit 4, smart agent 8, -20.44, 3.20, 27.36
exit 4, smart agent 6, -20.44, 3.20, 27.92
exit 4, smart agent 9, -20.44, 3.20, 29.88
