Object Name, Agent Name, Position-X, Position-Z, Time (Seconds)
door 117, smart agent 29, 60.17, 3.89, 9.70
door 42, smart agent 50, 50.47, -1.88, 9.84
module node 27, smart agent 26, 54.90, 2.00, 9.88
door 6, smart agent 19, -4.62, 26.82, 9.88
door 114, smart agent 50, 50.47, -1.76, 9.88
door 18, smart agent 19, -4.62, 26.70, 9.92
door 43, smart agent 1, 44.47, -1.88, 9.96
door 37, smart agent 49, 54.15, -27.07, 10.00
door 113, smart agent 1, 44.47, -1.76, 10.00
door 83, smart agent 49, 54.15, -27.19, 10.04
intersection node 6, smart agent 35, 0.00, 24.00, 10.18
door 43, smart agent 47, 44.47, -1.88, 10.20
door 113, smart agent 47, 44.47, -1.76, 10.24
door 122, smart agent 33, 2.38, 14.89, 10.28
door 8, smart agent 23, -21.03, 37.50, 10.32
door 55, smart agent 33, 2.38, 15.01, 10.34
door 37, smart agent 49, 54.15, -27.07, 10.36
door 3, smart agent 23, -21.19, 37.50, 10.36
exit 1, smart agent 15, -60.26, 6.79, 10.40
exit 5, smart agent 20, 16.45, 34.41, 10.44
door 48, smart agent 42, 71.53, -23.57, 11.08
door 35, smart agent 42, 71.53, -23.58, 11.08
door 55, smart agent 33, 2.38, 15.01, 11.14
module node 19, smart agent 35, 3.40, 24.00, 11.16
door 121, smart agent 32, 2.38, 13.03, 11.16
door 123, smart agent 30, 3.55, 13.96, 11.18
intersection node 6, smart agent 18, 0.00, 24.00, 11.18
door 122, smart agent 33, 2.38, 14.89, 11.22
door 54, smart agent 32, 2.38, 12.91, 11.22
door 57, smart agent 30, 3.67, 13.96, 11.30
exit 1, smart agent 37, -60.26, 6.79, 11.38
door 121, smart agent 32, 2.38, 13.03, 11.38
door 57, smart agent 30, 3.67, 13.96, 11.40
intersection node 6, smart agent 19, 0.00, 24.00, 11.42
module node 26, smart agent 26, 48.90, 2.00, 11.44
door 54, smart agent 32, 2.38, 12.91, 11.44
door 35, smart agent 43, 71.53, -23.58, 11.46
door 48, smart agent 43, 71.53, -23.57, 11.46
door 39, smart agent 45, 56.41, -9.32, 11.56
module node 27, smart agent 29, 54.90, 2.00, 11.58
exit 1, smart agent 8, -60.26, 6.79, 11.58
door 58, smart agent 45, 56.53, -9.32, 11.60
door 54, smart agent 32, 2.38, 12.91, 11.60
door 35, smart agent 44, 71.53, -23.58, 11.62
door 48, smart agent 44, 71.53, -23.57, 11.62
door 121, smart agent 32, 2.38, 13.03, 11.66
door 47, smart agent 41, 77.91, -35.82, 11.72
door 36, smart agent 49, 57.02, -27.07, 11.76
door 93, smart agent 41, 77.92, -35.94, 11.78
door 81, smart agent 49, 57.02, -27.19, 11.80
door 121, smart agent 32, 2.38, 13.03, 11.82
exit 11, smart agent 6, 15.27, -1.76, 11.92
door 121, smart agent 33, 2.38, 13.03, 11.94
exit 5, smart agent 34, 16.45, 34.41, 12.00
door 54, smart agent 33, 2.38, 12.91, 12.02
